SR No.,CompanyName,Post,JobID,Type,Location,Skills,AppliedThrough,DateApplied,Application Status,Application Notes,Comments
1,Isourse,Business Analytics,,Full-Time,Delhi,"Excel, SQL, Python",Official Website,01-01-2024,No Response,No response received,
2,Healofy,Junior Data Scientist,,Full-Time,Bangalore,"Machine Learning, Data Analytics, Jupyter Notebook",Indeed,01-01-2024,Proceed with Another Candidate,Consider other opportunities,
3,Zyla Health,Data Analyst,,Full-time,WFH,"Jupyter Notebook, Google Sheets, Power BI, TensorFlow",Internshala,01-01-2024,No Response,No response received,
4,Sukarma Technologies,Business/Data Analyst,,Full-Time,Chennai,"Python libraries (Matplotlib, Seaborn), Python, Tableau, Statistics",LinkedIn,01-01-2024,No Response,No response received,
5,iTech,Analyst - Data Steward,,Full-time,Chennai,"Python libraries (Matplotlib, Seaborn), Tableau, TensorFlow, Power BI",Naukri,02-01-2024,No Response,No response received,
6,Elite Met Solutions,Data Analyst,,Full-Time,WFH,"Machine Learning, Tableau",Indeed,03-01-2024,Proceed with Another Candidate,Consider other opportunities,
7,Creditsafe Technology,Data Scientist,,Internship (3 Months),Chennai,"Excel, Data Analytics, Deep Learning",Indeed,04-01-2024,No Response,No response received,
8,Winged Recruitment,Data Analyst,,Full-Time,Bangalore,"Power BI, Pandas",Internshala,05-01-2024,No Response,No response received,
9,Rekruton Technologies,Data Analytics Associate,,Full-Time,Bangalore,"Data Analytics, Pandas",Internshala,05-01-2024,No Response,No response received,
10,Ozibook Tech Solutions Private Limited,Data Analyst,,Full-Time,Mumbai,"Machine Learning, Deep Learning, Power BI",Internshala,06-01-2024,No Response,No response received,
11,Eli Lilly and Company,Business/Data Analyst (Excel),,Full-Time,Mumbai,"Google Sheets, Python libraries (Matplotlib, Seaborn), Statistics",Internshala,09-01-2024,No Response,No response received,
12,WPP,Data Visualization & Business Intelligence Specialist,,Internship,Chennai,"Pandas, SQL",Indeed,10-01-2024,Rejected,Consider other opportunities,
13,Augmenta Asset Manager,Data Analyst (Fresher Trainee),,Contract,WFH,"NLP, TensorFlow, Tableau",Official Website,11-01-2024,No Response,No response received,
14,TCS,Python Developer,,Full-Time,,"Python (Django, Flask), Numpy",LinkedIn,13-01-2024,No Response,No response received,
15,Silverline Prestige School Part Of Silverline Educ Silverline Education Trust,Intern,,Full-Time,WFH,"Jupyter Notebook, Statistics",LinkedIn,13-01-2024,No Response,No response received,
16,Congnizant,Programmer Analyst,triple zero 56773071,Full-time,Bangalore,,Offial Website,15-01-2024,Rejected,Consider other opportunities,
17,Congnizant,Programmer Analyst,triple zero 57162692,Full-time,Chennai,,Offial Website,15-01-2024,No Response,No response received,
18,Ozibook Tech Solutions Private Limited,Data Analytics,,Internship (part-time),WFH (2 Month),"Jupyter Notebook, Python libraries (Matplotlib, Plotly Express, pandas, and NumPy), GitHub, Google Docs, Google Sheets, Google Drive, Notion, and Discord for day-to-day work tasks.",Internshala,15-01-2024,No Response,No response received,
19,Jivichem Synthesis Private Limited,Machine Learning,,Internship (part-time),WFH (1 Month),"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python Programming",Internshala,16-01-2024,Proceed with Another Candidate,Consider other opportunities,
20,Ozibook Tech Solutions Private Limited,Business Analytics,Reason (Skills not suited to me),Internship (part-time),WFH (2 Month),"Google Docs, Google Sheets, Google Drive",Internshala,16-01-2024,No Response,No response received,
21,Luminos Technology,Data Analytics Executive,,Full-time,WFH ,Advanced Excel,Internshala,16-01-2024,No Response,No response received,
22,Pocket FM,Researcher - Data Operations Intern,,Full-Time,WFH,"Machine Learning, Google Sheets, NLP",LinkedIn,16-01-2024,No Response,No response received,
23,VICE ENTERPRISES,Data Analytics Manager,,Full-time,WFH,Advanced Excel,Internshala,17-01-2024,No Response,No response received,
24,VICE ENTERPRISES,Big Data Associate,,Full-time,WFH,Power Point ,Internshala,17-01-2024,No Response,No response received,
25,Azad Bharat Info Services,Big Data Executive,,Full-time,WFH,"Data Analysis, Database Testing, Data Structures",Internshala,17-01-2024,Proceed with Another Candidate,Consider other opportunities,
26,Eli Lilly and Company,Analyst - Data Analyst,R-58613,Full-time,Bangalore,"Tableau, PowerBI, Python, data wrangling, data modelling, data mining, metrics, reporting and visualizations.",Offial Website,18-01-2024,No Response,No response received,
27,Synopsys,Data Analyst (License Compliance),47343BR,Full-time,Noida,,Offial Website,18-01-2024,Rejected,Consider other opportunities,
28,Neilsen,Analyst,,Full-time,Mumbai,,Offial Website,18-01-2024,Proceed with Another Candidate,Consider other opportunities,
29, Softsensor.ai ,Data Scientist,,Full-Time,WFH,"Data Analytics, Data Science, Machine Learning, Python, SQL",Internshala,18-01-2024,No Response,No response received,
30,Innometrics Solutions,Data Analyst,,Full-Time,Bangalore,"Statistics, Excel, Python libraries (Matplotlib, Seaborn), Deep Learning",Official Website,18-01-2024,No Response,No response received,
31,Phonepe,Analyst ,,Full-time,WFM,,Offial Website,19-01-2024,No Response,No response received,
32,HCLTech,Junior Data Analyst,HCLTFP849426,Full-time,Across India,"Python, SQL, Power BI, tableau",Offial Website,19-01-2024,No Response,No response received,
33,Citi Bank,Officer Business Analytics,23699179,Full-time,bangalore,Python Hive SQL Excel,Offial Website,19-01-2024,No Response,No response received,
34,RazorPay,Data Analyst (License Compliance),,Full-time,Hyderabad,"TensorFlow, Statistics",LinkedIn,19-01-2024,No Response,No response received,
