SR No.,CompanyName,Post,JobID,Type,Location,Skills,CTC,AppliedThrough,Comments,DateApplied,Link1,Link2
1,Congnizant,Programmer Analyst,triple zero 56773071,Full-time,Bangalore,,ND,Offial Website,,,https://careers.cognizant.com/in/en/Full-time/COGNGLOBAL00056773071/Programmer-Analyst?utm_source=linkedin&utm_medium=phenom-feeds,
2,Congnizant,Programmer Analyst,triple zero 57162692,Full-time,Chennai,,ND,Offial Website,,,"Programmer Analyst Full-time | Cognizant Full-time in Chennai, Tamil Nadu, India",
3,Ozibook Tech Solutions Private Limited,Data Analytics,,Internship (part-time),WFH (2 Month),"Jupyter Notebook, Python libraries (Matplotlib, Plotly Express, pandas, and NumPy), GitHub, Google Docs, Google Sheets, Google Drive, Notion, and Discord for day-to-day work tasks.",1000/month,Internshala,,,https://internshala.com/internship/detail/data-analytics-work-from-home-Full-time-internship-at-ozibook-tech-solutions-private-limited1705801345?referral=student_digest_active,
4,Jivichem Synthesis Private Limited,Machine Learning,,Internship (part-time),WFH (1 Month),"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python Programming",12000/month,Internshala,,,Machine Learning Remote Part Time Internship at Jivichem Synthesis Private Limited,
5,Ozibook Tech Solutions Private Limited,Business Analytics,Reason (Skills not suited to me),Internship (part-time),WFH (2 Month),"Google Docs, Google Sheets, Google Drive",1000/month,Internshala,,,https://internshala.com/internship/detail/business-analytics-work-from-home-Full-time-internship-at-ozibook-tech-solutions-private-limited1705801328?referral=student_digest_active,
6,Luminos Technology,Data Analytics Executive,,Full-time,WFH ,Advanced Excel,"₹ 4,00,000 - 6,00,000",Internshala,,,Data Analytics Executive Fresher Full-time (Part time/Remote),
7,VICE ENTERPRISES,Data Analytics Manager,,Full-time,WFH,Advanced Excel,"₹ 4,00,000 - 7,00,000",Internshala,,,Data Analytics Manager Fresher Full-time (Part time/Remote),
8,VICE ENTERPRISES,Big Data Associate,,Full-time,WFH,Power Point ,"₹ 4,00,000 - 7,00,000",Internshala,,,Data Analytics Manager Fresher Full-time (Part time/Remote),
9,Azad Bharat Info Services,Big Data Executive,,Full-time,WFH,"Data Analysis, Database Testing, Data Structures","₹ 4,00,000 - 6,00,000",Internshala,,,Big Data Executive Fresher Full-time (Remote),
10,Eli Lilly and Company,Analyst - Data Analyst,R-58613,Full-time,Bangalore,"Tableau, PowerBI, Python, data wrangling, data modelling, data mining, metrics, reporting and 
visualizations.",ND,Offial Website,,,https://careers.lilly.com/us/en/Full-time/LILLUSR58613EXTERNALENUS,
